"year","rcp45","rcp85"
2419,3.14069996217029,9.17465870474694
2420,3.14200107558921,9.18001664737714
2421,3.14341180636607,9.18529458875967
2422,3.1447518546384,9.18950185355435
2423,3.14600822863642,9.19428106873264
2424,3.14704999982499,9.19876819967273
2425,3.14810393977501,9.203551634884
2426,3.14948212586239,9.20836040975417
2427,3.15087852716706,9.21299545566908
2428,3.15202947553075,9.21840879812948
2429,3.15329013094478,9.22385267572814
2430,3.15463037359689,9.22833955656017
2431,3.15585093450525,9.23246601296768
2432,3.15694083677272,9.23659546463429
2433,3.15790154562128,9.24187955995456
2434,3.15901243947616,9.24676468869704
2435,3.16023506757272,9.25110470937394
2436,3.16135491316744,9.25571997873285
2437,3.16283640790939,9.26034815850266
2438,3.16403134066421,9.26423916225652
2439,3.16523406839881,9.268592488048
2440,3.16644542257913,9.27351045446716
2441,3.16766138779803,9.27757826562639
2442,3.16903725602726,9.28219727908124
2443,3.17008713877817,9.28684043978186
2444,3.17102963667349,9.29161534620586
2445,3.17222210808536,9.29572770230675
2446,3.17318583859032,9.30025626435841
2447,3.1742764135753,9.30416879898393
2448,3.17546207487773,9.30880707275647
2449,3.17653431341438,9.31367235135476
2450,3.17767269440016,9.31779767019746
2451,3.17883751079795,9.32158070894487
2452,3.17991418784845,9.32572069187846
2453,3.18091732637727,9.33045282334247
2454,3.18211635843882,9.33461284340599
2455,3.18329770173109,9.3392443510654
2456,3.18446354972269,9.34373821633465
2457,3.18562776836033,9.34654805662591
2458,3.18669429373349,9.35090921191617
2459,3.18765862873367,9.35555391718053
2460,3.18897875475568,9.35947565981636
2461,3.19000572043425,9.36345704026713
2462,3.19108726431753,9.367679295203
2463,3.19214264593501,9.37155499360982
2464,3.19323006254156,9.37554028805649
2465,3.19456434630021,9.37910437908855
2466,3.19559585705131,9.38402356485543
2467,3.19665684871573,9.38754943659197
2468,3.19785865280851,9.39077947805814
2469,3.19908411466385,9.39529722104393
2470,3.20042212342759,9.39937926515716
2471,3.20136484663374,9.40275133686281
2472,3.20262696587873,9.40656600670657
2473,3.20366638165159,9.41117347155292
2474,3.20463727013803,9.41545780433519
